inputfile,status,cpu_time,wall_time,host
list-simple/dll2n_update_all_reverse.yml,true,100.11,100.1,apollon038
product-lines/email_spec4_product25.cil.yml,true,100.43,50.11,apollon134
floats-cdfpl/newton_3_4.yml,true,100.74,100.73,apollon093
nla-digbench-scaling/egcd2-ll_unwindbound1.yml,false(unreach-call),101.06,101.09,apollon048
forester-heap/dll-queue-2.yml,false(unreach-call),101.83,101.86,apollon082
hardness-nfm22/hardness_variablewrapping_wrapper-a_file-67.yml,true,102.39,102.42,apollon096
product-lines/email_spec27_product35.cil.yml,true,102.5,51.16,apollon123
product-lines/email_spec3_product32.cil.yml,true,102.6,51.18,apollon125
hardness-nfm22/hardness_operatoramount_amount250_file-19.yml,true,102.76,102.77,apollon025
product-lines/email_spec1_product34.cil.yml,true,102.89,51.33,apollon054
floats-cdfpl/newton_3_3.yml,true,103.09,103.09,apollon020
bitvector/byte_add-1.yml,false(unreach-call),103.16,103.19,apollon157
nla-digbench-scaling/ps6-ll_unwindbound1.yml,true,104.38,104.38,apollon167
product-lines/elevator_spec3_product22.cil.yml,true,104.72,52.39,apollon161
product-lines/email_spec6_product20.cil.yml,true,104.79,52.29,apollon083
floats-cdfpl/newton_3_1.yml,true,104.9,104.94,apollon136
eca-rers2012/Problem10_label59.yml,true,105.31,105.3,apollon036
nla-digbench-scaling/hard-ll_valuebound100.yml,true,105.51,105.51,apollon159
floats-cdfpl/square_5.yml,true,105.6,105.63,apollon112
product-lines/email_spec0_product35.cil.yml,true,105.96,52.86,apollon028
eca-rers2012/Problem04_label37.yml,false(termination),106.26,53.42,apollon056
hardness-nfm22/hardness_operatoramount_amount500_file-6.yml,true,106.31,106.35,apollon110
list-simple/sll2n_update_all_reverse.yml,true,106.42,106.45,apollon145
eca-rers2012/Problem04_label46.yml,false(termination),106.61,53.6,apollon039
product-lines/email_spec3_product34.cil.yml,true,106.94,53.36,apollon021
eca-rers2012/Problem04_label49.yml,false(termination),108.02,54.3,apollon109
eca-rers2012/Problem04_label11.yml,false(termination),108.03,54.32,apollon058
nla-digbench-scaling/hard2_unwindbound2.yml,false(unreach-call),108.19,108.19,apollon024
eca-rers2012/Problem10_label17.yml,true,108.48,108.49,apollon153
combinations/gcd_4+newton_3_3.yml,true,108.7,108.7,apollon165
eca-rers2012/Problem04_label36.yml,false(termination),109.2,54.88,apollon090
eca-rers2012/Problem04_label40.yml,false(termination),109.52,55.07,apollon112
eca-rers2012/Problem04_label12.yml,false(termination),109.72,55.16,apollon092
eca-rers2012/Problem04_label43.yml,false(termination),110.55,55.57,apollon095
combinations/gcd_4+newton_3_6.yml,false(unreach-call),110.7,110.72,apollon094
eca-rers2012/Problem04_label29.yml,false(termination),110.97,55.79,apollon078
product-lines/elevator_spec1_product22.cil.yml,true,110.99,55.43,apollon033
hardness-nfm22/hardness_fillercode_fillercodesize_ps-cn-500_file-3.yml,true,111.03,111.05,apollon077
eca-rers2012/Problem10_label58.yml,false(unreach-call),111.2,111.24,apollon021
hardness-nfm22/hardness_floatingpointinfluence_has-floats_file-17.yml,true,111.23,111.23,apollon035
hardness-nfm22/hardness_loopvsstraightlinecode_100-1loop_file-60.yml,true,111.71,111.72,apollon143
hardness-nfm22/hardness_loopvsstraightlinecode_100-while_file-60.yml,true,111.73,111.83,apollon060
eca-rers2012/Problem04_label44.yml,false(termination),112.03,56.3,apollon059
eca-rers2012/Problem04_label17.yml,false(termination),112.23,56.41,apollon002
hardness-nfm22/hardness_variablewrapping_wrapper-s_file-17.yml,true,112.4,112.45,apollon014
product-lines/elevator_spec1_product24.cil.yml,true,112.49,56.16,apollon061
hardware-verification-bv/btor2c-lazyMod.eq_sdp_v2.yml,true,112.55,112.55,apollon016
eca-rers2012/Problem04_label24.yml,false(termination),113.43,57.03,apollon144
eca-rers2012/Problem04_label57.yml,false(termination),114.08,57.37,apollon145
eca-rers2012/Problem04_label58.yml,false(termination),114.34,57.5,apollon042
product-lines/elevator_spec1_product32.cil.yml,true,114.49,57.16,apollon096
product-lines/email_spec8_product21.cil.yml,true,114.71,57.21,apollon124
product-lines/email_spec3_product35.cil.yml,true,114.86,57.31,apollon037
eca-rers2012/Problem04_label42.yml,false(termination),115.59,58.12,apollon110
nla-digbench-scaling/bresenham-ll_valuebound10.yml,true,115.68,115.68,apollon127
eca-rers2012/Problem04_label14.yml,false(termination),116.19,58.43,apollon084
array-examples/standard_strcpy_ground-1.yml,true,117.02,117.06,apollon086
eca-rers2012/Problem04_label27.yml,false(termination),117.21,58.94,apollon012
floats-cdfpl/newton_3_5.yml,true,117.36,117.36,apollon076
hardness-nfm22/hardness_variablewrapping_wrapper-a_file-8.yml,true,117.47,117.46,apollon033
hardware-verification-bv/btor2c-lazyMod.eq_sdp_v3.yml,false(unreach-call),117.64,117.62,apollon113
seq-mthreaded/pals_opt-floodmax.4.ufo.BOUNDED-8.pals.yml,true,117.65,58.76,apollon134
combinations/gcd_4+newton_3_5.yml,true,117.86,117.86,apollon040
combinations/gcd_4+newton_3_7.yml,false(unreach-call),118.69,118.68,apollon037
floats-cdfpl/square_4.yml,true,119.22,119.26,apollon010
eca-rers2012/Problem04_label23.yml,false(termination),120.26,60.5,apollon097
eca-rers2012/Problem04_label20.yml,false(termination),120.35,60.53,apollon007
hardness-nfm22/hardness_operatoramount_amount250_file-39.yml,true,121.06,121.1,apollon155
hardness-nfm22/hardness_operatoramount_amount100_file-84.yml,true,121.12,121.12,apollon122
hardware-verification-bv/btor2c-lazyMod.sw_sym_ex.yml,true,121.98,121.99,apollon024
combinations/gcd_1+newton_3_2.yml,true,122.66,122.7,apollon117
combinations/gcd_4+newton_3_4.yml,true,124.29,124.28,apollon128
floats-cdfpl/newton_3_2.yml,true,126.5,126.52,apollon158
combinations/gcd_2+newton_3_4.yml,true,126.65,126.65,apollon106
combinations/gcd_1+newton_3_5.yml,true,126.81,126.86,apollon149
nla-digbench-scaling/hard-u_unwindbound5.yml,false(unreach-call),126.95,126.95,apollon064
combinations/gcd_2+newton_3_2.yml,true,127.05,127.05,apollon034
combinations/gcd_2+newton_3_1.yml,true,127.4,127.4,apollon078
product-lines/elevator_spec3_product30.cil.yml,true,127.91,64.0,apollon048
combinations/gcd_2+newton_3_6.yml,false(unreach-call),128.15,128.17,apollon091
xcsp/AllInterval-013.yml,false(unreach-call),129.36,129.35,apollon018
hardware-verification-bv/btor2c-lazyMod.sw_sym_ex_v.yml,false(unreach-call),131.52,131.5,apollon043
eca-rers2012/Problem14_label35.yml,true,131.98,132.04,apollon101
hardness-nfm22/hardness_variablewrapping_normal_file-17.yml,true,132.11,132.11,apollon167
combinations/square_6+soft_float_5a.c.cil.yml,true,133.1,133.1,apollon103
combinations/gcd_2+newton_3_3.yml,true,133.32,133.32,apollon125
combinations/gcd_4+newton_3_1.yml,true,133.89,133.9,apollon039
combinations/gcd_4+newton_3_2.yml,true,134.72,134.72,apollon014
seq-mthreaded/pals_STARTPALS_Triplicated.1.ufo.UNBOUNDED.pals.yml,false(unreach-call),135.73,135.79,apollon130
nla-digbench-scaling/ps2-ll_unwindbound20.yml,true,136.49,136.54,apollon118
