inputfile,status,cpu_time,wall_time,host
termination-crafted-lit/BrockschmidtCookFuhs-CAV2013-Fig1.yml,true,0.08,0.07,apollon001
termination-crafted-lit/AliasDarteFeautrierGonnord-SAS2010-speedpldi3.yml,true,0.08,0.07,apollon062
termination-crafted-lit/AliasDarteFeautrierGonnord-SAS2010-speedpldi2.yml,true,0.08,0.07,apollon098
unsignedintegeroverflow-sas23/distance_through_overflow.yml,true,0.08,0.08,apollon167
termination-crafted-lit/AliasDarteFeautrierGonnord-SAS2010-cousot9.yml,true,0.08,0.07,apollon021
termination-restricted-15/c.03.yml,true,0.08,0.07,apollon142
termination-crafted/TelAviv-Amir-Minimum.yml,true,0.08,0.07,apollon112
termination-restricted-15/c.08.yml,true,0.08,0.07,apollon089
termination-crafted/NonTermination3-1.yml,true,0.08,0.08,apollon004
termination-restricted-15/UpAndDown.yml,true,0.08,0.07,apollon128
termination-restricted-15/b.03-no-inv_assume.yml,true,0.08,0.08,apollon137
loop-zilu/benchmark11_linear_abstracted.yml,true,0.08,0.08,apollon099
termination-restricted-15/Sequence.yml,true,0.08,0.08,apollon144
termination-crafted-lit/AliasDarteFeautrierGonnord-SAS2010-easy1.yml,true,0.08,0.07,apollon122
termination-crafted-lit/HeizmannHoenickeLeikePodelski-ATVA2013-Fig6.yml,true,0.08,0.07,apollon158
termination-restricted-15/Sunset.yml,true,0.08,0.07,apollon140
termination-restricted-15/a.10.yml,true,0.08,0.07,apollon046
termination-restricted-15/a.09_assume.yml,true,0.08,0.07,apollon027
termination-crafted-lit/Urban-WST2013-Fig2-modified1000.yml,true,0.08,0.08,apollon018
termination-restricted-15/PastaB17.yml,true,0.08,0.07,apollon020
termination-crafted-lit/Urban-WST2013-Fig2.yml,true,0.08,0.07,apollon111
ldv-regression/test_union_cast-1.yml,true,0.08,0.08,apollon097
ldv-regression/test_union_cast-2.yml,true,0.08,0.08,apollon065
termination-crafted-lit/Velroyen.yml,true,0.08,0.07,apollon052
loop-invgen/NetBSD_loop.yml,true,0.08,0.08,apollon127
loop-acceleration/array_3-2.yml,true,0.08,0.08,apollon050
termination-crafted-lit/PodelskiRybalchenko-TACAS2011-Fig2.yml,true,0.08,0.08,apollon002
termination-crafted/Bangalore_v2.yml,true,0.08,0.08,apollon167
termination-restricted-15/GCD2.yml,true,0.08,0.07,apollon024
termination-restricted-15/GCD4.yml,true,0.08,0.07,apollon061
termination-restricted-15/Loop-2.yml,true,0.08,0.07,apollon153
termination-crafted/Arrays01-EquivalentConstantIndices-1.yml,true,0.09,0.09,apollon003
termination-restricted-15/PastaB4.yml,true,0.09,0.09,apollon106
termination-crafted/Bangalore-2.yml,true,0.09,0.09,apollon067
termination-restricted-15/PastaB16.yml,true,0.09,0.09,apollon006
array-examples/standard_copy1_ground-1.yml,true,0.09,0.09,apollon001
array-examples/sanfoundry_27_ground.yml,true,0.09,0.09,apollon028
ldv-regression/test10.yml,true,0.09,0.08,apollon116
ldv-memsafety/StructInitialization.yml,true,0.09,0.09,apollon166
termination-crafted-lit/PodelskiRybalchenko-TACAS2011-Fig4.yml,true,0.09,0.09,apollon163
loop-invariants/even.yml,true,0.09,0.08,apollon148
termination-bwb/consecutive-zero-bits-trailing.yml,true,0.09,0.07,apollon117
loop-zilu/benchmark02_linear.yml,true,0.09,0.08,apollon066
loop-invariants/eq2.yml,true,0.09,0.08,apollon021
termination-restricted-15/a.06.yml,true,0.09,0.09,apollon049
ldv-regression/test_union_cast.c_1.yml,true,0.09,0.09,apollon126
termination-restricted-15/a.04.yml,true,0.09,0.09,apollon153
termination-crafted/NonTermination3-2.yml,true,0.09,0.08,apollon071
ldv-regression/test_union_cast.c_1.yml,true,0.09,0.09,apollon142
termination-restricted-15/b.02.yml,true,0.09,0.09,apollon054
ldv-regression/test_union_cast.yml,true,0.09,0.08,apollon117
ldv-regression/volatile_alias.yml,true,0.09,0.09,apollon038
ldv-regression/nested_structure-1.yml,true,0.09,0.09,apollon044
ldv-regression/nested_structure-2.yml,true,0.09,0.09,apollon074
termination-crafted-lit/KroeningSharyginaTsitovichWintersteiger-CAV2010-Ex.yml,true,0.09,0.09,apollon168
ldv-regression/test_union.c_1.yml,true,0.09,0.08,apollon120
float-newlib/float_req_bl_1011b.yml,true,0.09,0.09,apollon157
ldv-regression/test_union.yml,true,0.09,0.08,apollon112
termination-restricted-15/TwoFloatInterv.yml,true,0.09,0.09,apollon071
termination-restricted-15/UpAndDownIneq.yml,true,0.09,0.09,apollon022
termination-restricted-15/WhileDecr.yml,true,0.09,0.09,apollon008
