inputfile,status,cpu_time,wall_time,host
hardness-nfm22/hardness_operatoramount_amount100_file-2.yml,true,60.06,60.05,apollon104
array-industry-pattern/array_of_struct_break.yml,true,60.68,60.67,apollon134
bitvector/byte_add_2-2.yml,true,60.76,60.77,apollon061
combinations/gcd_3+newton_2_5.yml,true,61.07,61.07,apollon106
combinations/gcd_4+newton_2_2.yml,true,61.08,61.08,apollon164
bitvector/byte_add_1-2.yml,false(no-overflow),61.37,61.36,apollon015
nla-digbench-scaling/cohencu-ll_valuebound2.yml,true,61.42,61.42,apollon065
floats-cdfpl/newton_3_7.yml,false(unreach-call),61.89,61.88,apollon033
combinations/gcd_2+newton_3_7.yml,false(unreach-call),62.03,62.02,apollon086
hardware-verification-bv/btor2c-lazyMod.eq_sdp_v4.yml,true,62.28,62.28,apollon020
list-simple/dll2n_update_all.yml,true,62.46,62.45,apollon063
nla-digbench-scaling/ps5-ll_unwindbound1.yml,true,62.73,62.72,apollon072
hardness-nfm22/hardness_fillercode_fillercodesize_ps-cn-250_file-33.yml,true,62.98,63.0,apollon004
hardness-nfm22/hardness_loopvsstraightlinecode_100-1loop_file-12.yml,true,63.41,63.4,apollon102
hardness-nfm22/hardness_fillercode_fillercodesize_ps-cn-250_file-73.yml,true,63.65,63.65,apollon017
nla-digbench-scaling/bresenham-ll_valuebound5.yml,true,63.96,63.96,apollon013
combinations/gcd_2+newton_2_3.yml,true,64.05,64.05,apollon053
hardness-nfm22/hardness_operatoramount_amount500_file-30.yml,true,64.44,64.45,apollon029
hardness-nfm22/hardness_variablewrapping_wrapper-a_file-46.yml,true,65.11,65.11,apollon029
hardware-verification-bv/btor2c-lazyMod.eq_sdp_v5.yml,false(unreach-call),65.43,65.41,apollon103
hardness-nfm22/hardness_operatoramount_amount250_file-65.yml,true,65.44,65.44,apollon023
eca-rers2012/Problem10_label32.yml,true,65.83,65.83,apollon143
array-examples/sorting_bubblesort_ground-2.yml,true,66.54,66.54,apollon149
list-simple/dll2c_remove_all_reverse.yml,true,66.94,66.96,apollon092
nla-digbench-scaling/hard-ll_valuebound50.yml,true,68.17,68.17,apollon035
combinations/gcd_3+newton_2_4.yml,true,68.4,68.43,apollon161
hardness-nfm22/hardness_operatoramount_amount100_file-40.yml,true,68.73,68.76,apollon144
hardness-nfm22/hardness_operatoramount_amount500_file-14.yml,true,69.31,69.34,apollon023
eca-rers2012/Problem10_label53.yml,true,69.4,69.39,apollon112
eca-rers2012/Problem10_label36.yml,true,70.3,70.32,apollon112
xcsp/Haystacks-08.yml,true,70.63,70.63,apollon013
hardness-nfm22/hardness_variablewrapping_wrapper-a_file-86.yml,true,71.02,71.02,apollon120
floats-cdfpl/newton_3_8.yml,false(unreach-call),71.2,71.18,apollon035
hardness-nfm22/hardness_variablewrapping_wrapper-p_file-77.yml,true,71.23,71.23,apollon002
array-industry-pattern/array_range_init.yml,true,71.43,71.43,apollon081
combinations/gcd_3+newton_3_7.yml,false(unreach-call),71.44,71.43,apollon131
hardness-nfm22/hardness_operatoramount_amount250_file-15.yml,true,71.61,71.62,apollon167
eca-rers2012/Problem10_label25.yml,true,72.06,72.07,apollon034
combinations/square_6+soft_float_1-2a.c.cil.yml,true,72.61,72.61,apollon159
combinations/gcd_2+newton_2_5.yml,true,73.82,73.82,apollon165
memsafety/lockfree-3.2.yml,false(valid-memtrack),74.17,74.16,apollon026
combinations/square_4+soft_float_2a.c.cil.yml,true,74.82,74.86,apollon084
hardness-nfm22/hardness_variablewrapping_wrapper-p_file-17.yml,true,75.38,75.38,apollon043
combinations/gcd_4+newton_3_8.yml,false(unreach-call),75.53,75.51,apollon053
xcsp/CostasArray-14.yml,false(unreach-call),75.87,75.87,apollon143
nla-digbench-scaling/egcd2-ll_unwindbound2.yml,true,76.81,76.83,apollon008
eca-rers2012/Problem10_label35.yml,true,77.1,77.09,apollon137
hardness-nfm22/hardness_operatoramount_amount500_file-69.yml,true,77.11,77.1,apollon114
eca-rers2012/Problem10_label40.yml,true,77.14,77.14,apollon004
hardness-nfm22/hardness_operatoramount_amount500_file-80.yml,true,77.33,77.34,apollon121
list-ext3-properties/dll_nullified-1.yml,false(unreach-call),77.52,77.51,apollon139
eca-rers2012/Problem10_label27.yml,true,77.66,77.72,apollon003
eca-rers2012/Problem10_label00.yml,true,77.71,77.72,apollon103
eca-rers2012/Problem10_label28.yml,false(unreach-call),77.9,77.93,apollon142
eca-rers2012/Problem10_label01.yml,true,78.08,78.08,apollon103
hardness-nfm22/hardness_operatoramount_amount500_file-40.yml,true,78.34,78.39,apollon039
eca-rers2012/Problem10_label05.yml,true,78.4,78.46,apollon063
eca-rers2012/Problem10_label13.yml,true,79.16,79.16,apollon021
eca-rers2012/Problem10_label24.yml,false(unreach-call),79.58,79.57,apollon040
eca-rers2012/Problem10_label52.yml,true,79.64,79.66,apollon059
hardness-nfm22/hardness_operatoramount_amount250_file-87.yml,true,79.82,79.84,apollon088
eca-rers2012/Problem10_label18.yml,true,79.87,79.9,apollon153
xcsp/aim-200-3-4-sat-4.yml,false(unreach-call),79.88,79.88,apollon002
eca-rers2012/Problem10_label48.yml,false(unreach-call),79.95,79.94,apollon065
eca-rers2012/Problem10_label20.yml,true,79.99,79.99,apollon014
eca-rers2012/Problem10_label21.yml,true,80.02,80.01,apollon078
eca-rers2012/Problem10_label10.yml,true,80.25,80.25,apollon105
eca-rers2012/Problem10_label03.yml,true,80.52,80.52,apollon113
termination-restricted-15/NarrowKonv.yml,false(termination),80.56,80.3,apollon061
xcsp/aim-200-6-0-sat-2.yml,false(unreach-call),81.29,81.28,apollon077
hardness-nfm22/hardness_variablewrapping_wrapper-a_file-19.yml,true,81.61,81.64,apollon082
array-tiling/pr5.yml,true,81.75,81.78,apollon141
