inputfile,status,cpu_time,wall_time,host
hardness-nfm22/hardness_operatoramount_amount500_file-23.yml,true,500.79,500.98,apollon095
eca-rers2012/Problem16_label57.yml,true,507.63,507.74,apollon022
nla-digbench-scaling/hard-ll_unwindbound2.yml,true,511.63,511.64,apollon019
eca-rers2012/Problem16_label24.yml,true,522.82,522.82,apollon166
hardware-verification-bv/btor2c-lazyMod.vis_arrays_two_p1.yml,false(unreach-call),529.16,529.29,apollon110
eca-rers2012/Problem14_label18.yml,false(unreach-call),530.2,530.43,apollon145
nla-digbench-scaling/ps3-ll_unwindbound5.yml,true,534.63,534.78,apollon117
eca-rers2012/Problem16_label17.yml,true,537.43,537.56,apollon015
seq-mthreaded/pals_lcr.5.1.ufo.UNBOUNDED.pals.yml,false(termination),544.31,544.15,apollon044
eca-rers2012/Problem16_label55.yml,true,553.74,553.95,apollon010
eca-rers2012/Problem14_label27.yml,false(unreach-call),556.06,556.13,apollon131
eca-rers2012/Problem16_label26.yml,true,558.22,558.34,apollon081
eca-rers2012/Problem14_label52.yml,false(unreach-call),558.43,558.53,apollon040
eca-rers2012/Problem16_label16.yml,true,561.31,561.33,apollon111
eca-rers2012/Problem11_label51.yml,false(unreach-call),561.75,562.0,apollon090
seq-mthreaded/pals_lcr.4.ufo.UNBOUNDED.pals.yml,false(termination),566.95,566.62,apollon085
eca-rers2012/Problem14_label40.yml,false(unreach-call),567.33,567.42,apollon051
eca-rers2012/Problem16_label32.yml,true,568.14,568.37,apollon125
hardness-nfm22/hardness_operatoramount_amount250_file-83.yml,true,568.84,569.02,apollon097
xcsp/CostasArray-15.yml,false(unreach-call),570.24,570.23,apollon116
array-examples/standard_partition_original_ground.yml,true,570.53,570.56,apollon100
nla-digbench-scaling/geo1-u_valuebound5.yml,true,571.88,571.89,apollon076
eca-rers2012/Problem11_label49.yml,false(unreach-call),573.04,573.05,apollon137
eca-rers2012/Problem16_label13.yml,true,575.99,576.0,apollon083
eca-rers2012/Problem16_label19.yml,true,577.39,577.4,apollon052
eca-rers2012/Problem11_label59.yml,true,579.7,579.73,apollon142
neural-networks/softsign_4_safe.c-amalgamation.yml,true,583.96,584.01,apollon155
eca-rers2012/Problem16_label29.yml,true,585.34,585.61,apollon034
eca-rers2012/Problem16_label59.yml,true,585.51,585.73,apollon121
seq-mthreaded/pals_lcr.4.1.ufo.UNBOUNDED.pals.yml,false(termination),589.4,589.1,apollon080
eca-rers2012/Problem16_label21.yml,true,593.31,593.39,apollon073
eca-rers2012/Problem16_label11.yml,true,595.89,595.93,apollon034
eca-rers2012/Problem16_label56.yml,true,596.65,596.78,apollon035
seq-mthreaded/pals_lcr-var-start-time.4.2.ufo.UNBOUNDED.pals.yml,false(termination),600.84,600.88,apollon138
seq-mthreaded/pals_lcr-var-start-time.4.ufo.UNBOUNDED.pals.yml,false(termination),601.48,601.34,apollon038
eca-rers2012/Problem16_label36.yml,true,603.26,603.52,apollon134
nla-digbench-scaling/geo1-ll_valuebound5.yml,true,605.7,605.92,apollon112
eca-rers2012/Problem11_label12.yml,true,608.68,608.89,apollon029
seq-mthreaded/pals_lcr.5.ufo.UNBOUNDED.pals.yml,false(termination),609.82,609.4,apollon149
seq-mthreaded/pals_lcr.3.1.ufo.UNBOUNDED.pals.yml,false(termination),613.5,613.63,apollon004
eca-rers2012/Problem16_label35.yml,true,615.83,615.86,apollon142
eca-rers2012/Problem16_label49.yml,true,617.34,617.47,apollon145
eca-rers2012/Problem11_label00.yml,false(unreach-call),617.48,617.73,apollon001
eca-rers2012/Problem11_label37.yml,true,618.58,618.72,apollon057
eca-rers2012/Problem11_label30.yml,true,621.26,621.33,apollon142
eca-rers2012/Problem16_label09.yml,true,621.35,621.39,apollon152
eca-rers2012/Problem16_label48.yml,true,626.2,626.34,apollon111
eca-rers2012/Problem16_label42.yml,true,628.29,628.32,apollon149
eca-rers2012/Problem14_label29.yml,false(unreach-call),628.67,628.95,apollon013
hardness-nfm22/hardness_loopvsstraightlinecode_25-while_file-48.yml,true,629.31,629.47,apollon081
